track_name,artists,release_year,era,duration_min,danceability,energy,loudness,acousticness,valence
Tiny Vessels,Death Cab for Cutie,2003,Pre-streaming,4.362666666666667,0.5670000000000001,0.644,-8.552,0.4379999999999999,0.0655
Transatlanticism,Death Cab for Cutie,2003,Pre-streaming,7.918216666666667,0.44,0.446,-9.928,0.39,0.201
Passenger Seat,Death Cab for Cutie,2003,Pre-streaming,3.6948833333333333,0.597,0.0958,-17.319000000000006,0.775,0.0961
Death of an Interior Decorator,Death Cab for Cutie,2003,Pre-streaming,2.943783333333333,0.614,0.5710000000000001,-9.214,0.0383,0.711
We Looked Like Giants,Death Cab for Cutie,2003,Pre-streaming,5.546883333333334,0.344,0.7759999999999999,-6.638,0.119,0.316
A Lack of Color,Death Cab for Cutie,2003,Pre-streaming,3.5986666666666665,0.64,0.321,-12.581,0.809,0.356
Overjoyed,Jars Of Clay,2003,Pre-streaming,3.66845,0.675,0.593,-7.241,0.106,0.287
Something Beautiful,Jars Of Clay,2003,Pre-streaming,3.9591166666666666,0.596,0.821,-5.626,0.0281,0.612
The Valley Song (Sing of Your Mercy),Jars Of Clay,2003,Pre-streaming,4.19755,0.487,0.8029999999999999,-6.2970000000000015,0.0621,0.5589999999999999
Liquid,Jars Of Clay,2003,Pre-streaming,3.6331166666666665,0.629,0.4920000000000001,-7.028,0.129,0.259
The Eleventh Hour,Jars Of Clay,2003,Pre-streaming,4.158,0.6459999999999999,0.799,-4.77,0.0329,0.581
Dig,Jars Of Clay,2003,Pre-streaming,3.244666666666667,0.5760000000000001,0.408,-8.181000000000001,0.541,0.326
Redemption,Jars Of Clay,2003,Pre-streaming,3.1786666666666665,0.597,0.476,-5.996,0.516,0.354
Love Song For a Savior,Jars Of Clay,2003,Pre-streaming,4.822666666666667,0.522,0.8190000000000001,-5.495,0.0158,0.385
Frail,Jars Of Clay,2003,Pre-streaming,4.261783333333334,0.629,0.597,-9.235,0.291,0.491
Needful Hands,Jars Of Clay,2003,Pre-streaming,2.792,0.407,0.3429999999999999,-7.421,0.608,0.326
Disappear - Live From The Eleventh Hour Tour,Jars Of Clay,2003,Pre-streaming,4.689116666666667,0.4370000000000001,0.96,-4.5360000000000005,0.0116,0.344
Like a Child - Live From The Eleventh Hour Tour,Jars Of Clay,2003,Pre-streaming,4.717783333333333,0.526,0.976,-3.526,0.00331,0.499
Crazy Times - Live From The Eleventh Hour Tour,Jars Of Clay,2003,Pre-streaming,3.933333333333333,0.4039999999999999,0.921,-3.5580000000000003,0.0119,0.284
I Need You - Live From The Eleventh Hour Tour,Jars Of Clay,2003,Pre-streaming,3.5933333333333333,0.596,0.93,-4.288,0.023,0.408
The Eleventh Hour - Live From The Eleventh Hour Tour,Jars Of Clay,2003,Pre-streaming,4.304,0.489,0.88,-3.742,0.0088799999999999,0.4529999999999999
This Road - Live From The Eleventh Hour Tour,Jars Of Clay,2003,Pre-streaming,4.49445,0.244,0.441,-8.071,0.862,0.103
